video_id,video_title,upload_date,view_count,like_count,dislike_count,comment_count
30hS-MjpU6E,SQL Syntax Best Practices: How to Structure Your SQL Code,2021-12-22,2978,182,,18
Bgpp99iz0I0,Most Common Coding Mistakes on Data Science Interviews,2021-11-04,3108,153,,27
GeJUvdkJKEc,Multiple Solutions to Data Scientist Interview Question From Amazon [Rolling Average],2021-10-11,4151,126,,32
GGURenNfXI0,Multiple Approaches for Solving a Twitter Data Scientist Interview Question,2021-09-13,3229,144,,32
PlpUo6bHsBQ,Advanced Facebook Data Science SQL interview question [RANK()],2021-08-09,10621,341,,45
uY2wfR8Dkqo,5 Tips for a Successful Data Science Interview,2021-07-26,6302,200,,37
yY7yau9j3xk,Data Science SQL Scenario Based Interview Question [Facebook] - Date Manipulation,2021-07-20,4562,132,,22
i-E4pdU2qXM,Data Science SQL Interview Question Walkthrough [Microsoft] - Window Function: Ranking,2021-07-13,4080,161,,19
T1UhSuKqy3A,Most Common Data Science SQL Interview Question from DoorDash [window functions  partitions],2021-06-15,6613,242,,37
2iE3JgNTwVU,A Walkthrough of Data Science SQL Interview Question from Noom (Date Manipulations),2021-06-04,3819,128,,30
RgKMbpEylWA,Comparing FAANG vs Non-FAANG Data Science Interview Questions,2021-05-24,1862,69,,12
giGIPINLqJs,An Analysis of 900 Data Science Interview Questions | Data Science Interview Guide,2021-05-13,2623,106,,9
77IVf0zgmwI,Importing a Pandas Dataframe to a Database in Python [For Your Data Science Project],2021-05-05,6373,264,,33
xtbMCAVXDmU,Facebook and Microsoft Data Science SQL interview question walkthrough (advanced),2021-04-15,6247,187,,58
fklHBWow8vE,Working with APIs in Python [For Your Data Science Project],2021-04-02,16206,879,,69
tNXliLTlrV8,Step-by-step Approach to Solving Any Data Science SQL Interview Question (Twitch),2021-03-24,6507,209,,32
XRwxYOhHdE8,Facebook&#39;s Most Common Data Science SQL Interview Question [2021 Interview Question and Answer],2021-03-10,19655,500,,45
pV_mnZgzXEo,"Coding Concepts in Data Science Interviews in 2021 (Facebook, Twitch, Postmates)",2021-03-03,3949,212,,26
c4Af2FcgamA,The One and Only Data Science Project You Need,2021-02-24,137453,8518,,193
